"ITTER107","Territory","TIPO_DATO_SDS_ICT","Data type","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","COMM_3","within the last 3 months","2019","2019",34.8,,
"IT","Italy","COMM_3_12","between 3 months and a year ago","2019","2019",12.6,,
"IT","Italy","COMM_12_MORE","more than 1 year ago","2019","2019",9,,
"IT","Italy","COMM_NEVER","never","2019","2019",42.2,,
"ITC","Nord-ovest","COMM_3","within the last 3 months","2019","2019",40.8,,
"ITC","Nord-ovest","COMM_3_12","between 3 months and a year ago","2019","2019",12.8,,
"ITC","Nord-ovest","COMM_12_MORE","more than 1 year ago","2019","2019",7.3,,
"ITC","Nord-ovest","COMM_NEVER","never","2019","2019",38,,
"ITC1","Piemonte","COMM_3","within the last 3 months","2019","2019",37.4,,
"ITC1","Piemonte","COMM_3_12","between 3 months and a year ago","2019","2019",13.5,,
"ITC1","Piemonte","COMM_12_MORE","more than 1 year ago","2019","2019",8.8,,
"ITC1","Piemonte","COMM_NEVER","never","2019","2019",39.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","COMM_3","within the last 3 months","2019","2019",42.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","COMM_3_12","between 3 months and a year ago","2019","2019",14.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","COMM_12_MORE","more than 1 year ago","2019","2019",6.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","COMM_NEVER","never","2019","2019",34.5,,
"ITC3","Liguria","COMM_3","within the last 3 months","2019","2019",36.8,,
"ITC3","Liguria","COMM_3_12","between 3 months and a year ago","2019","2019",12.9,,
"ITC3","Liguria","COMM_12_MORE","more than 1 year ago","2019","2019",8.8,,
"ITC3","Liguria","COMM_NEVER","never","2019","2019",39.9,,
"ITC4","Lombardia","COMM_3","within the last 3 months","2019","2019",42.9,,
"ITC4","Lombardia","COMM_3_12","between 3 months and a year ago","2019","2019",12.5,,
"ITC4","Lombardia","COMM_12_MORE","more than 1 year ago","2019","2019",6.5,,
"ITC4","Lombardia","COMM_NEVER","never","2019","2019",37.1,,
"ITD","Nord-est","COMM_3","within the last 3 months","2019","2019",37.5,,
"ITD","Nord-est","COMM_3_12","between 3 months and a year ago","2019","2019",13.4,,
"ITD","Nord-est","COMM_12_MORE","more than 1 year ago","2019","2019",7.2,,
"ITD","Nord-est","COMM_NEVER","never","2019","2019",40.8,,
"ITDA","Trentino Alto Adige / Südtirol","COMM_3","within the last 3 months","2019","2019",39.3,,
"ITDA","Trentino Alto Adige / Südtirol","COMM_3_12","between 3 months and a year ago","2019","2019",14.2,,
"ITDA","Trentino Alto Adige / Südtirol","COMM_12_MORE","more than 1 year ago","2019","2019",8.4,,
"ITDA","Trentino Alto Adige / Südtirol","COMM_NEVER","never","2019","2019",36.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","COMM_3","within the last 3 months","2019","2019",36.9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","COMM_3_12","between 3 months and a year ago","2019","2019",14.8,,
"ITD1","Provincia Autonoma Bolzano / Bozen","COMM_12_MORE","more than 1 year ago","2019","2019",9.4,,
"ITD1","Provincia Autonoma Bolzano / Bozen","COMM_NEVER","never","2019","2019",36.3,,
"ITD2","Provincia Autonoma Trento","COMM_3","within the last 3 months","2019","2019",41.7,,
"ITD2","Provincia Autonoma Trento","COMM_3_12","between 3 months and a year ago","2019","2019",13.6,,
"ITD2","Provincia Autonoma Trento","COMM_12_MORE","more than 1 year ago","2019","2019",7.5,,
"ITD2","Provincia Autonoma Trento","COMM_NEVER","never","2019","2019",36.4,,
"ITD3","Veneto","COMM_3","within the last 3 months","2019","2019",36.3,,
"ITD3","Veneto","COMM_3_12","between 3 months and a year ago","2019","2019",12.8,,
"ITD3","Veneto","COMM_12_MORE","more than 1 year ago","2019","2019",6.4,,
"ITD3","Veneto","COMM_NEVER","never","2019","2019",43.5,,
"ITD4","Friuli-Venezia Giulia","COMM_3","within the last 3 months","2019","2019",37.8,,
"ITD4","Friuli-Venezia Giulia","COMM_3_12","between 3 months and a year ago","2019","2019",14.6,,
"ITD4","Friuli-Venezia Giulia","COMM_12_MORE","more than 1 year ago","2019","2019",8.8,,
"ITD4","Friuli-Venezia Giulia","COMM_NEVER","never","2019","2019",37.9,,
"ITD5","Emilia-Romagna","COMM_3","within the last 3 months","2019","2019",38.4,,
